"ID","AMPI__GEOGRAPHIC_AREA__R.ID","AMPI__GEOGRAPHIC_AREA__R.AMPI__TYPE__C","AMPI__PROJECT__R.NAME","AMPI__PROJECT__R.ID","AMPI__PROJECT__R.PROGRAMME_LOCATION__C"
"a0Y7T000000ZpXsUAK","a0I1i00000FK2pMEAT","Programme Unit","Response to crisis in Colombia due to venezuelan refugees","a0i1i000002i5DXAAY",""
"a0Y7T000000ZpXTUA0","a0I1i000006yYyKEAU","Programme Unit","DRA Desert Locust Joint Response in Somaliland","a0i1i000002iFxAAAU",""
"a0Y7T000000ZpXYUA0","a0I1i000004MOK0EAO","Programme Unit","Dutch Relief Alliance Project in Colombia","a0i1i000002i5EUAAY",""
"a0Y7T000000ZpXdUAK","a0I1i000004MOK1EAO","Programme Unit","Response to the Venezuelan Refugee Crisis - ECHO","a0i1i000002i5EAAAY",""
"a0Y7T000000Zq0VUAS","a0I1i000004MMAWEA4","Country","Digitalisation in Development  Cooperation in Developing Countries","a0i7T000000Hcx1QAC",""
"a0Y1i00000OfS1DEAV","a0I1i000004MM9mEAG","Country","Programme Renforcement de la Famille Tit Mélil Médiouna","a0i1i000006HTH2AAO",""
"a0Y1i00000OfS1IEAV","a0I1i000004MM8lEAG","Country","Colombia Emergency Response - GAC - CAP 2021","a0i1i000006HTIyAAO",""
"a0Y1i00000OfS1NEAV","a0I1i000004MMAdEAO","Country","Venezuela Emergency Response - GAC - CAP 2021","a0i1i000006HTJ3AAO",""
"a0Y1i00000OfS1SEAV","a0I1i000004MM8sEAG","Country","Impulsando la autonomía y derechos económicos de las mujeres y niñas","a0i1i000006HTLnAAO",""
"a0Y1i00000OfS3nEAF","a0I1i000004MM9mEAG","Country","Soutien au fonctionnement du VESOS Imzouren","a0i1i000006HTODAA4",""
"a0Y1i00000OfS3sEAF","a0I1i000004MMAEEA4","Country","Promotion of Climate-Friendly Cooking in Somalia.","a0i1i000006HTT8AAO",""
"a0Y1i00000OfS7aEAF","a0I1i000004MM8XEAW","Country","Reintegrating children who dropped out of school into the education system","a0i1i000006HTUVAA4",""
"a0Y1i00000OfSAAEA3","a0I1i000004MM9aEAG","Country","Alytus Children's Day care centre - support for family","a0i1i000002i5ERAAY",""
"a0Y1i00000OfSAFEA3","a0I1i000004MM9aEAG","Country","Leaving care services in Vilnius","a0i1i000002i5ENAAY",""
"a0Y1i00000OfSAGEA3","a0I1i000004MM9aEAG","Country","Family model of community-based child care home services in Alytus Region","a0i1i000002i5EOAAY",""
"a0Y1i00000OfSAKEA3","a0I1i000004MM9aEAG","Country","Family model of community based child care home services in Siauliai Region","a0i1i000002i5EPAAY",""
"a0Y1i00000OfSAPEA3","a0I1i000004MM9aEAG","Country","Children's Day Care Center for Family Strengthening - Support for Family","a0i1i000002i5EQAAY",""
"a0Y1i00000OfSAUEA3","a0I1i000004MM9aEAG","Country","Pivasiunai Children's Day Care Center ""Support for Family""","a0i1i000002i5ESAAY",""
"a0Y1i00000OfSAZEA3","a0I1i000004MOBGEA4","Programme Unit","Sala TIC para reducir brecha digital de NNAJ de Aldeas Infantiles SOS Ancud","a0i1i000002iKh7AAE",""
"a0Y1i00000OfSJgEAN","a0I1i000004MM9QEAW","Country","Demo - DANA TEST NOTIFICATIONS of Grant Project","a0i1i000006HTirAAG",""
"a0Y1i00000OfSJvEAN","a0I1i000004MM9WEAW","Country","Fighting COVID-19, fabric Masks for COVID-19 community protection","a0i1i000006HTk4AAG",""
"a0Y1i00000OfSK0EAN","a0I1i000004MM9WEAW","Country","Empower ten underprivileged female-headed families","a0i1i000006HTkdAAG",""
"a0Y1i00000OfSK5EAN","a0I1i000004MOAmEAO","Programme Unit","Programa Residencial Pukará","a0i1i000002iKgiAAE",""
"a0Y1i00000OfSMQEA3","a0I1i000004MOB4EAO","Programme Unit","Programa Residencial Puerto Varas","a0i1i000002iRBYAA2",""
"a0Y1i00000OfSMVEA3","a0I1i000004MOB9EAO","Programme Unit","Programa Residencial Pillán","a0i1i000002iRBOAA2",""
"a0Y1i00000OfSPKEA3","a0I1i000004MvZfEAK","Country","The Next Economy Phase II Somalia and Somaliland (Iceland)","a0i1i000002ib6KAAQ",""
"a0Y1i00000OfSPZEA3","a0I1i000004MM8gEAG","Country","Sport for better future","a0i1i000006HTyzAAG",""
"a0Y1i00000OfSPeEAN","a0I1i000004MOB9EAO","Programme Unit","Programa Residencial Ñuñohue","a0i1i000002iRBTAA2",""
"a0Y1i00000OfSPoEAN","a0I1i000004MOAgEAO","Programme Unit","Programa Residencial Malleco","a0i1i000002iRBUAA2",""
"a0Y1i00000OfSQ3EAN","a0I1i000004MM8jEAG","Country","Programa Residencial Entre Volcanes","a0i1i000006HTzYAAW",""
"a0Y1i00000OfS1XEAV","a0I1i000004MM9MEAW","Country","One on One tutoring for Special Needs and Math Remedial Tutoring project.","a0i1i000006HTLsAAO",""
"a0Y1i00000OfSQ8EAN","a0I1i000004MOB4EAO","Programme Unit","Programa Residencial Entre Volcanes","a0i1i000006HTzYAAW",""
"a0Y1i00000OfSVFEA3","a0I1i000004MM8jEAG","Country","Programa Residencial Chiloé","a0i1i000006HU9iAAG",""
"a0Y1i00000OfSVKEA3","a0I1i000004MOBGEA4","Programme Unit","Programa Residencial Chiloé","a0i1i000006HU9iAAG",""
"a0Y1i00000OfSVPEA3","a0I1i000004MM8jEAG","Country","Programa Residencial Padre Las Casas","a0i1i000006HUA2AAO",""
"a0Y1i00000OfSVUEA3","a0I1i000004MOBXEA4","Programme Unit","Programa Residencial Padre Las Casas","a0i1i000006HUA2AAO",""
"a0Y1i00000OfSgKEAV","a0I1i000004MMAEEA4","Country","The Next Economy Phase II Somalia (Iceland)","a0i1i000006HURNAA4",""
"a0Y1i00000OfSgUEAV","a0I1i000004MMAEEA4","Country","The Next Economy Phase II Somaliland (Iceland)","a0i1i000006HURcAAO",""
"a0Y1i00000OfSjnEAF","a0I1i000004MM8zEAG","Country","Ethiopia Emergency Relief Project","a0i1i000006HUbcAAG",""
"a0Y1i00000OfSn1EAF","a0I1i000004MM8zEAG","Country","Initiative to Support Democratic Governance and Peaceful Coexistence in Ethiopia","a0i1i000002i5G0AAI",""
